claim_id,assertion,backing_script,status,note
AP-03,"…the normalization `a₀(2,3,5) = 271/360 = 269/360 + 1/180`",code/verify_identities.py,backed,"a_0(2,3,5) = 271/360 = 269/360 + 1/180"
AP-04,…the inversion `eq:s1inv`,code/verify_identities.py,backed,"eq:s1inv: a_0 = (S_1+R-2)/12 and S_1 = 12a_0 + 2 - R, S_1 <= 200"
AP-05,"…the reduction `eq:a2red` and recovery `eq:e3`, including the full round trip `(p,q,r) ↦ (R,S₁,P₃) ↦ (p,q,r)`",code/verify_identities.py,backed,"eq (6): full round trip (p,q,r) -> (R,S_1,P_3) -> (p,q,r), S_1 <= 200"
AP-06,…the interval endpoints and adjacent-pair inequalities of `thm:separation`,code/verify_identities.py,backed,Thm 3.4: the four endpoint comparisons at S = 18
AP-07,…the bound `S₁R ≥ 9`,code/verify_identities.py,backed,"Prop 2.6: S_1*R >= 9, equality iff p = q = r, S_1 <= 200"
AP-08,…the scaling law `prop:scaling`,code/verify_identities.py,backed,Prop 5.1: scaling law for k <= {SCALE_MAX} on ten distinct base degeneracies
AP-09,…the exact enumeration of `N(S)` and `𝒩(S)` for `10 ≤ S ≤ 600`,code/enumerate_degeneracies.py,backed,cumulative checkpoints asserted against independent values
AP-10,"""The verification scripts verify every displayed rational identity""",code/cross_check.py,backed,three-way agreement: harness vs. oracle vs. recovered legacy scripts
AP-11,Companion script `make_table.py` regenerates Table 1,code/make_table.py,backed,"table2.tex regenerated from enumeration; collisions detected, not hardcoded"
AP-12,Companion script `enumerate_degeneracies.py` regenerates Table 2,code/make_table.py,backed,table1.tex regenerated from the sweep at the manuscript's checkpoints
AP-13,"""A single command (`run_all`) reproduces all checks""",NONE,public-availability,PUBLIC-AVAILABILITY: run_all.sh exists locally; the manuscript names it 'run_all'. Closes on push plus a one-word text fix.
AP-14,Table 1 lists **every** hyperbolic triad with `10 ≤ S₁ ≤ 18`,code/make_table.py,backed,"table2.tex regenerated from enumeration; collisions detected, not hardcoded"
AP-15,`R` is distinct across all triads of a common sum for `S₁ ≤ 17`,code/make_table.py,backed,"table2.tex regenerated from enumeration; collisions detected, not hardcoded"
AP-16,The only within-sum coincidence at `S₁ ≤ 18` is the boldface pair at `S₁ = 18`,code/enumerate_degeneracies.py,backed,"check_base_case: exactly one degeneracy at S = 18, the expected pair"
AP-17,"All 83 individual `(p,q,r) ↦ R` entries",code/make_table.py,backed,"table2.tex regenerated from enumeration; collisions detected, not hardcoded"
AP-18,"""Verification scripts and generated table data are available in the public repository""",NONE,public-availability,PUBLIC-AVAILABILITY: closes on push.
AP-19,"""The exact-arithmetic verification code used to check the displayed rational identities and regenerate Tables 1 and 2 is available in the public repository""",NONE,public-availability,PUBLIC-AVAILABILITY: closes on push.
